,name,username,license,tags,freesound_id,path
50,Firework boom with crackle 13,MaoDin204,http://creativecommons.org/publicdomain/zero/1.0/,"['Fireworks', 'boom', 'firework']",722293,files/bass_sounds/722293_15555277-hq.ogg
51,Firework boom 3,MaoDin204,http://creativecommons.org/publicdomain/zero/1.0/,"['firework', 'boom', 'Fireworks']",722275,files/bass_sounds/722275_15555277-hq.ogg
52,Firework boom 5,MaoDin204,http://creativecommons.org/publicdomain/zero/1.0/,"['Fireworks', 'firework', 'boom']",722280,files/bass_sounds/722280_15555277-hq.ogg
53,Firework boom 7,MaoDin204,http://creativecommons.org/publicdomain/zero/1.0/,"['Fireworks', 'firework', 'boom']",722285,files/bass_sounds/722285_15555277-hq.ogg
54,Firework boom 9,MaoDin204,http://creativecommons.org/publicdomain/zero/1.0/,"['Fireworks', 'boom', 'firework']",722289,files/bass_sounds/722289_15555277-hq.ogg
55,Firework boom 12,MaoDin204,http://creativecommons.org/publicdomain/zero/1.0/,"['Fireworks', 'boom', 'firework']",722295,files/bass_sounds/722295_15555277-hq.ogg
56,Interesting Boom.wav,arithni,http://creativecommons.org/licenses/sampling+/1.0/,"['bang', 'beat', 'boom', 'processed', 'studio-recording']",83632,files/bass_sounds/83632_953613-hq.ogg
57,field recording  backyard.thunder.shed.tap.boom.wav,thebraindrinker,http://creativecommons.org/publicdomain/zero/1.0/,"['shed', 'tap', 'thunder', 'boom', 'wav', 'backyard']",397265,files/bass_sounds/397265_4704538-hq.ogg
58,Fireworks boom far 3,MaoDin204,http://creativecommons.org/publicdomain/zero/1.0/,"['firework', 'boom', 'Fireworks']",722270,files/bass_sounds/722270_15555277-hq.ogg
59,Firework boom with crackle 2,MaoDin204,http://creativecommons.org/publicdomain/zero/1.0/,"['firework', 'boom', 'Fireworks']",722273,files/bass_sounds/722273_15555277-hq.ogg
60,Firework boom with crackle 10,MaoDin204,http://creativecommons.org/publicdomain/zero/1.0/,"['Fireworks', 'boom', 'firework']",722288,files/bass_sounds/722288_15555277-hq.ogg
61,Firework boom with crackle 14,MaoDin204,http://creativecommons.org/publicdomain/zero/1.0/,"['Fireworks', 'boom', 'firework']",722296,files/bass_sounds/722296_15555277-hq.ogg
