,freesound_id,id,path,start_sample,end_sample,loudness,centroid,attack_time
49,510076,510076_f0,files/bass_sounds/510076_8698658-hq.ogg,0,56320,0.0037698401646180588,1526.6488037109375,-0.8299246430397034
50,510076,510076_f1,files/bass_sounds/510076_8698658-hq.ogg,56320,112640,0.0015474598516117442,407.644287109375,-0.9027355909347534
51,510078,510078_f0,files/bass_sounds/510078_8698658-hq.ogg,0,56320,0.003566695614294572,1767.9681396484375,-0.47815653681755066
52,510078,510078_f1,files/bass_sounds/510078_8698658-hq.ogg,56320,112640,0.0009902234781872141,120.11167907714844,-0.9734509587287903
53,506286,506286_f0,files/bass_sounds/506286_10643288-hq.ogg,0,56320,0.00012998080558397553,2802.1484375,-0.542519748210907
54,510083,510083_f0,files/bass_sounds/510083_8698658-hq.ogg,0,56320,0.003328456390987743,475.13525390625,-1.2613415718078613
55,510083,510083_f1,files/bass_sounds/510083_8698658-hq.ogg,56320,112640,0.000932124595750462,143.87603759765625,-1.2243177890777588
56,511884,511884_f0,files/bass_sounds/511884_8698658-hq.ogg,0,56320,0.004157301512631503,1123.3304443359375,-0.9203266501426697
57,511884,511884_f1,files/bass_sounds/511884_8698658-hq.ogg,56320,112640,0.001076400550928983,212.2765350341797,-0.9979368448257446
58,511880,511880_f0,files/bass_sounds/511880_8698658-hq.ogg,0,56320,0.003613046624443748,631.0017700195312,-1.2049480676651
59,511882,511882_f0,files/bass_sounds/511882_8698658-hq.ogg,0,56320,0.002938621694391424,821.2123413085938,-1.1059905290603638
60,511882,511882_f1,files/bass_sounds/511882_8698658-hq.ogg,56320,112640,0.0001230712980031967,389.8580322265625,-1.6010762453079224
61,541015,541015_f0,files/bass_sounds/541015_1648170-hq.ogg,0,56320,0.0010247118771076202,769.9573974609375,-0.9354231357574463
62,541015,541015_f1,files/bass_sounds/541015_1648170-hq.ogg,56320,112640,0.0009981519119306045,1442.6737060546875,-0.26317906379699707
63,510077,510077_f0,files/bass_sounds/510077_8698658-hq.ogg,0,56320,0.004951757192611694,807.773681640625,-0.6893765330314636
64,511885,511885_f0,files/bass_sounds/511885_8698658-hq.ogg,0,56320,0.004049127752130682,197.3494873046875,-1.4857745170593262
65,511885,511885_f1,files/bass_sounds/511885_8698658-hq.ogg,56320,112640,0.0002758363431150263,186.96533203125,-1.1541991233825684
66,706970,706970_f0,files/bass_sounds/706970_14730610-hq.ogg,0,56320,2.0765796811743216e-05,7866.880859375,-0.12296052277088165
67,706970,706970_f1,files/bass_sounds/706970_14730610-hq.ogg,56320,112640,1.5168321657587182e-05,6043.619140625,-0.3854183852672577
68,706970,706970_f2,files/bass_sounds/706970_14730610-hq.ogg,112640,168960,1.633254790001295e-05,2404.504150390625,-0.7940986752510071
